Part,Feeder,PickupHight,PickupSpeed,PickupDelay,PasteHight,PasteSpeed,PasteDelay,Visual,DeltaAngleAtFeeder1Opam_LM358_F1,,1645,7,30,1475,7,10,High Spead,0
LED_R_0603,,1595,7,20,1529,7,10,High Spead,90
R_R0_0805,,1565,8,20,1200,8,15,High Spead,0
R_1M_0603,,1550,8,5,1570,8,5,High Spead,0
R_R300_0603,,1550,8,10,1570,8,10,High Spead,0
Tu_47uF,,1645,7,30,1090,7,10,High Spead,0
LED_Y_0603,,1595,7,20,1529,7,10,High Spead,0
R_1K_0603,,1550,8,5,1570,8,5,High Spead,0
R_10K_0603,,1550,8,5,1570,8,5,High Spead,0
C_100nF_104_0603,,1540,7,15,1505,8,10,High Spead,0
R_4K7_0603,,1550,8,5,1570,8,5,High Spead,0
C_1uF_0603,,1540,7,15,1505,8,10,High Spead,0
FET_FDN340,,1650,7,15,1485,7,10,High Spead,0
XTAL_16Mhz,,1645,7,15,1500,8,10,High Spead,0
AMS1117-3.3V_F19,,1660,1,101,1445,7,25,Precise,0
Fuse_500mA_1206,,1640,7,15,1525,8,10,High Spead,0
Diod_BAT54A_F22,,1650,7,15,1485,7,15,High Spead,0
L_4.7uH,,1670,7,30,1200,8,10,High Spead,0
Btn_4x4x3_F27,,1200,4,20,1200,9,0,Precise,0
XL1509-5_F43,,1695,7,30,1445,7,15,High Spead,0
CP2102_F45,,1550,7,20,1535,7,15,Precise,0
Tu_100uF,,1645,1,40,1090,7,10,High Spead,0
Diod_BAT54A_F49,,1550,7,15,1485,7,10,High Spead,0
DIOD_SS24,,1615,4,20,1390,4,15,High Spead,0
test_cap_47uF,,1200,8,0,1200,8,0,High Spead,0
test_diod_SS24,,1200,8,0,1200,8,0,High Spead,0
Micro_usb,,1475,3,50,1385,7,15,Precise,0
Mega2560,,1845,4,25,1535,4,25,Precise,0
XL1509_5V_TRAY,,1780,7,15,1445,7,10,Precise,0
CP2102_TRAY,,1835,4,15,1535,7,10,Precise,0
AMS1117-3.3V_TRAY,,1750,7,25,1445,7,10,Precise,0
Button_SMD_TRAY,,1780,7,25,1445,7,10,Precise,0
chuan_dauHut,,1565,4,1,1200,4,1,High Spead,0
Opam_LM358_Tray,,1780,7,15,1445,7,10,Precise,0
Btn4x4x3_T8,,1200,4,1,1200,4,1,Precise,0
un_use,,1590,4,1,1200,4,1,High Spead,0
,,,,,,,,,
