Designator,Mid X,Mid Y,New Angel,Rotation,Comment
,,,NA,,
A1,100.00mm,100.00mm,NA,-90,A1
A2,61.62mm,40.32mm,NA,-90,A2
C1,78.66mm,93.65mm,NA,90,100nF
C2,89.97mm,93.65mm,NA,90,100nF
C3,71.81mm,79.04mm,NA,180,1uF
C4,92.76mm,83.36mm,NA,90,100nF
C5,94.79mm,94.92mm,NA,90,100nF
C6,59.36mm,62.92mm,NA,90,100nF
C7,87.43mm,93.65mm,NA,90,100nF
C9,74.22mm,93.65mm,NA,90,100nF
D1,52.88mm,84.76mm,NA,90,SS24
D2,65.52mm,85.59mm,NA,-90,SS24
D3,78.16mm,48.63mm,NA,90,BAT54_A
D4,78.16mm,53.96mm,NA,-90,BAT54_A
F1,76.12mm,102.29mm,NA,0,500mA
IC1,92.51mm,88.32mm,NA,-90,CP2102
IC2,71.74mm,84.89mm,NA,180,AMS1117-3V
L,92.76mm,78.54mm,NA,180,YELLOW
L2,69.29mm,93.14mm,NA,90,4.7uH
ON,88.00mm,47.93mm,NA,180,GREEN
PC1,59.23mm,80.82mm,NA,0,100uF
PC3,59.23mm,87.94mm,NA,0,47uF
R2,72.82mm,65.07mm,NA,90,1M
R6,90.47mm,83.36mm,NA,90,10k
R7,87.43mm,89.84mm,NA,-90,10k
R8,76.50mm,93.65mm,NA,90,1k
R9,81.59mm,48.50mm,NA,-90,300R
R10,85.01mm,85.78mm,NA,-90,1k
R11,87.43mm,85.78mm,NA,-90,1k
R12,80.70mm,78.66mm,NA,-90,10k
R13,86.28mm,47.93mm,NA,-90,1k
R14,78.03mm,78.66mm,NA,90,1k
R15,80.95mm,93.65mm,NA,90,4.7K
R16,83.24mm,93.65mm,NA,-90,10k
RESET,99.49mm,100.00mm,NA,-90,MAKER_SPACE_HNAOAB_BUTTON_44*1.5
RX,82.85mm,78.54mm,NA,180,YELLOW
T1,77.27mm,98.48mm,NA,180,FDN340P
TX,85.14mm,78.54mm,NA,180,YELLOW
U$2,87.43mm,104.95mm,NA,180,VIETDUINO_USB_MICRO
U3,68.50mm,101.02mm,NA,0,XL1509
U5,80.57mm,86.54mm,NA,180,LMV358IDGKR
Y2,74.98mm,65.07mm,NA,-90,CSTCE16M0V53-R0 16MHZ
